ID,Rating,Paygrade,Exam_Area,Subject,Concentration,Question,Answer_A,Answer_B,Answer_C,Answer_D,Correct_Answer,Source_Manual,Source_File,Source_URL,Page,Manual_Edition,Verbatim_Quote,Quote_Verified,Check_Notes,Judge_Verdict,Judge_Notes
ADV122,PS,E-5,Education Services,Exam Administration,Exam Results and Profile Sheets,What is the official source for NWAE results?,The profile sheet,The ESVR,The MyNavy Portal,BUPERS Online,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=96,96,"1430.16H, 21 Jan 2026",The ESVR is the official source for the results and must be verified for accuracy.,PASS,Found on stated page.,PASS,
ADV123,PS,E-7,Education Services,Exam Administration,Exam Results and Profile Sheets,What does BUPERS Online list for E-7 through E-9 candidates?,A one-time snapshot of the selection board results,Continuous updates throughout the cycle,Only selectees,Nothing; results are ESVR only,A,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=96,96,"1430.16H, 21 Jan 2026",Bureau of Naval Personnel (BUPERS) Online (BOL) will list a one-time snapshot of the selection board results for all E-7 through E-9 candidates,PASS,Found on stated page.,PASS,
ADV124,PS,E-5,Education Services,Exam Administration,Exam Results and Profile Sheets,Where do ESOs access NWAE and SBE results?,The Navy Enlisted Advancement System Web site,BUPERS Online,MyNavy Portal,NSIPS,A,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=96,96,"1430.16H, 21 Jan 2026",Access to NWAE or SBE results to the pay grades of E-5 through E-9 are available to education services officers (ESO) on the Navy Enlisted Advancement System (NEAS) Web site,PASS,Found on stated page.,PASS,
ADV125,PS,E-4,Manning & Manpower Management,Effecting Advancement,Effecting Advancement,"On what day of the month are E-2, E-3, and E-4 advancements automatically posted?",The 1st day,The 16th day,The 15th day,The last day,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=109,109,"1430.16H, 21 Jan 2026","Advancements to the pay grades of E-2, E-3, and E-4 are automatically posted on the 16th day of a month by NAVPERSCOM Selection Board Support Division (PERS-35)",PASS,Found on stated page.,PASS,
ADV126,PS,E-2,Manning & Manpower Management,Effecting Advancement,Effecting Advancement,What is the time in service requirement for advancement from E-1 to E-2?,18 months,6 months,12 months,9 months,D,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=109,109,"1430.16H, 21 Jan 2026",E-1 to E-2 E-2 to E-3 E-3 to E-4 TIS AT 9 MOS 18 MOS 30 MOS,PASS,Found on stated page.,PASS,
ADV127,PS,E-3,Manning & Manpower Management,Effecting Advancement,Effecting Advancement,What is the time in service requirement for advancement from E-2 to E-3?,12 months,24 months,18 months,9 months,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=109,109,"1430.16H, 21 Jan 2026",E-1 to E-2 E-2 to E-3 E-3 to E-4 TIS AT 9 MOS 18 MOS 30 MOS,PASS,Found on stated page.,PASS,
ADV128,PS,E-4,Manning & Manpower Management,Effecting Advancement,Effecting Advancement,What is the time in service requirement for advancement from E-3 to E-4?,36 months,30 months,18 months,24 months,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=109,109,"1430.16H, 21 Jan 2026",E-1 to E-2 E-2 to E-3 E-3 to E-4 TIS AT 9 MOS 18 MOS 30 MOS,PASS,Found on stated page.,PASS,
ADV129,PS,E-4,Manning & Manpower Management,Effecting Advancement,Effecting Advancement,How do PACT Program Sailors advance to E-4?,In line with the PACT Program requirements,Under the TIS construct,By NWAE only,By MAP only,A,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=109,109,"1430.16H, 21 Jan 2026",Sailors in the Professional Apprenticeship Career Track (PACT) Program will continue to earn rating designations and advancement to E-4 in line with the PACT Program requirements,PASS,Found on stated page.,PASS,
ADV130,PS,E-5,Manning & Manpower Management,Effecting Advancement,Effecting Advancement,What corrective action is required for a NO EAW DATA discrepancy?,Contact PERS-35,Submit an ETP,Resubmit the answer sheet,Create an NSIPS EAW electronic record for the cycle,D,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=109,109,"1430.16H, 21 Jan 2026",Create an NSIPS EAW electronic record for the cycle to include EP TIR waiver-eligible candidates,PASS,Found on stated page.,PASS,
ADV131,PS,E-5,Manning & Manpower Management,Effecting Advancement,Effecting Advancement,A Sailor reduced in rate has not been granted restoration by the CO. After how long may the Sailor petition the ISIC?,6 months,24 months,12 months,9 months,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=112,112,"1430.16H, 21 Jan 2026",Sailors may petition the immediate superior in command (ISIC) of the unit after 12 months from the date of reduction if CO has not granted restoration.,PASS,Found on stated page.,PASS,
ADV132,PS,E-5,Manning & Manpower Management,Effecting Advancement,Effecting Advancement,What determines the effective advancement date for E-5 and E-6 selectees?,Seniority in pay grade,FMS rank within the same rate/competitive group,Alphabetical order,Date of the exam,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=112,112,"1430.16H, 21 Jan 2026",The effective advancement date for members selected for advancement to the pay grades of E-5 and E-6 is determined by the Service member's FMS rank within the same rate/competitive group.,PASS,Found on stated page.,PASS,
ADV133,PS,E-7,Manning & Manpower Management,Effecting Advancement,Effecting Advancement,What determines the effective advancement date for E-7 through E-9 selectees?,Exam standard score,Board precept order,Seniority in pay grade within the same rate/competitive group,FMS rank,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=112,112,"1430.16H, 21 Jan 2026",The effective advancement date for members selected for advancement to the pay grades E-7 through E-9 is determined by the member's seniority in pay grade within the same rate/competitive group.,PASS,Found on stated page.,PASS,
ADV134,PS,E-5,Manning & Manpower Management,Effecting Advancement,Effecting Advancement,A selectee converts to a different rating after selection. What happens to the advancement?,It is delayed one cycle,It is retained and effected in the new rating on the originally specified date,It requires a new selection board,It is cancelled,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=112,112,"1430.16H, 21 Jan 2026",Personnel converted to a different rating subsequent to selection of advancement notification in the previous rating will retain their advancement and be advanced in their new rating on the date originally specified in the RCA/profile sheet.,PASS,Found on stated page.,PASS,
ADV135,PS,E-5,Manning & Manpower Management,Effecting Advancement,Effecting Advancement,When does advancement authority expire?,With the limiting date for the respective exam administration cycle,On the TED,At the end of the fiscal year,When the next cycle results are released,A,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=112,112,"1430.16H, 21 Jan 2026",Advancement authority expires with the limiting date for the respective exam administration cycle.,PASS,Found on stated page.,PASS,
ADV136,PS,E-7,Manning & Manpower Management,Effecting Advancement,Effecting Advancement,What are the effective advancement months for E-7?,July through December,July through June,September through August,January through June,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=112,112,"1430.16H, 21 Jan 2026",E-5 and E-6 January - June July - December E-7 September - August E-8 and E-9 July - June,PASS,Found on stated page.,PASS,
ADV137,PS,E-8,Manning & Manpower Management,Effecting Advancement,Effecting Advancement,What are the effective advancement months for E-8 and E-9?,January through June,September through August,July through December,July through June,D,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=112,112,"1430.16H, 21 Jan 2026",E-5 and E-6 January - June July - December E-7 September - August E-8 and E-9 July - June,PASS,Found on stated page.,PASS,
ADV138,PS,E-4,Manning & Manpower Management,Alternative Advancement,Combat Meritorious Advancement Program,CMAP was established to advance Sailors in which pay grades?,E-1 through E-5,E-4 through E-6,E-3 through E-6,E-1 through E-4,A,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=130,130,"1430.16H, 21 Jan 2026",This program was established to advance Sailors in the pay grades of E-1 through E-5 in recognition of uncommon valor and extraordinary deeds,PASS,Found on stated page.,PASS,
ADV139,PS,E-5,Manning & Manpower Management,Alternative Advancement,Combat Meritorious Advancement Program,How do CMAP quotas relate to MAP quotas?,They are limited to half the MAP quota,They replace MAP quotas for that fiscal year,They are drawn from the MAP allocation,They do not count against quotas authorized under MAP,D,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=130,130,"1430.16H, 21 Jan 2026",Advancement quotas under this program do not count against quotas authorized under the Meritorious Advancement Program (MAP).,PASS,Found on stated page.,PASS,
ADV140,PS,E-7,Manning & Manpower Management,Alternative Advancement,Combat Meritorious Advancement Program,Are CMAP advancements to E-7 through E-9 authorized?,No,Yes,Only in a designated combat zone,Only with CHNAVPERS approval,A,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=130,130,"1430.16H, 21 Jan 2026",Advancements to the pay grades of E-7 through E-9 are not authorized.,PASS,Found on stated page.,PASS,
ADV141,PS,E-5,Manning & Manpower Management,Alternative Advancement,Combat Meritorious Advancement Program,Which requirements are excepted for CMAP eligibility?,PMK-EE and ELD,The CO recommendation,NWAE participation and time in rate,Physical readiness requirements,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=130,130,"1430.16H, 21 Jan 2026",with the exception of Navy-wide advancement examination (NWAE) participation and time in rate (TIR),PASS,Found on stated page.,PASS,
ADV142,PS,E-5,Manning & Manpower Management,Alternative Advancement,Combat Meritorious Advancement Program,Where are combat and direct support combat zones currently listed?,"DoD 7000.14-R, the DoD Financial Management Regulation",MILPERSMAN 1160-120,OPNAVINST 6110.1L,The cycle NAVADMIN,A,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=130,130,"1430.16H, 21 Jan 2026",Combat and direct support combat zones are designated per executive order and congressional action and are currently listed in DoD 7000.14-R,PASS,Found on stated page.,PASS,
ADV143,PS,E-5,Manning & Manpower Management,Alternative Advancement,Posthumous Advancement,A Sailor dies while in a selectee or passed not advanced status. When is a posthumous advancement made effective?,The first of the following month,The date PERS-803 approves it,The date of death,The originally scheduled advancement date,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=134,134,"1430.16H, 21 Jan 2026","Sailors who die while in a selectee or passed not advanced status may be advanced posthumously, to be made effective the date of death.",PASS,Found on stated page.,PASS,
ADV144,PS,E-7,Manning & Manpower Management,Alternative Advancement,Posthumous Advancement,May a selection board eligible E-6 who was not selected be considered for posthumous advancement?,"Yes, with CO endorsement","No, because these advancements are decided by board action","Yes, if within one cycle","Yes, automatically",B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=134,134,"1430.16H, 21 Jan 2026",may not be considered for posthumous advancement as these advancements are decided by board action,PASS,Found on stated page.,PASS,
ADV145,PS,E-5,Manning & Manpower Management,Alternative Advancement,Posthumous Advancement,"What is the effect of a posthumous advancement on bonuses, gratuities, pay, and allowances?",They are not changed by posthumous advancements,They are recalculated at the higher pay grade,They are paid retroactively,They are doubled,A,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=134,134,"1430.16H, 21 Jan 2026","Bonuses, gratuities, pay, and allowances are not changed by posthumous advancements.",PASS,Found on stated page.,PASS,
ADV146,PS,E-6,Manning & Manpower Management,Alternative Advancement,Posthumous Advancement,Who is the approval or disapproval authority for posthumous advancement?,PERS-35,PERS-00C,PERS-803,CHNAVPERS,C,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=134,134,"1430.16H, 21 Jan 2026",PERS-803 is the approval/disapproval authority and will prepare a posthumous advancement determination letter and forward to PERS-00C for disposition.,PASS,Found on stated page.,PASS,
ADV147,PS,E-7,Education Services,Selection Boards,Selection Board Process,May selection board quotas be exceeded?,"Yes, in undermanned ratings","No, but they may be returned","Yes, with CHNAVPERS approval","Yes, by up to 5 percent",B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=141,141,"1430.16H, 21 Jan 2026",Quotas will not be exceeded but may be returned.,PASS,Found on stated page.,PASS,
ADV148,PS,E-6,Education Services,Selection Boards,Selection Board Process,On what basis is advancement across the Navy determined?,Time in rate alone,It is vacancy-driven,Command recommendation alone,Test scores alone,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=141,141,"1430.16H, 21 Jan 2026",Advancement across the Navy is vacancy-driven.,PASS,Found on stated page.,PASS,
ADV149,PS,E-8,Education Services,Selection Boards,Selection Board Process,What is the statutory ceiling on the authorized daily average number of E-8s on active duty in a fiscal year?,5.0 percent,2.5 percent,1.25 percent,2.0 percent,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=141,141,"1430.16H, 21 Jan 2026","The authorized daily average number of enlisted members on active duty (other than for training) in the pay grades of E-8 and E-9 in a fiscal year may not be more than 2.5 percent and 1.25 percent, respectively",PASS,Found on stated page.,PASS,Flagged WEAK_PROOF by outside review; quote widened to carry the answer.
ADV150,PS,E-6,Education Services,Selection Boards,Selection Board Process,Who establishes selection board quotas for SELRES personnel?,OPNAV N13,The Chief of Navy Reserve,PERS-803,CHNAVPERS,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=141,141,"1430.16H, 21 Jan 2026",The Chief of Navy Reserve establishes quotas for Selected Reserve (SELRES) personnel.,PASS,Found on stated page.,PASS,
ADV151,PS,E-7,Education Services,Selection Boards,Selection Board Process,What happens to a candidate with no recommendation for advancement on the most recent evaluation?,They compete with a reduced score,They will be invalidated,They are referred to an SSB,They are deferred one cycle,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=141,141,"1430.16H, 21 Jan 2026",Candidates who do not have a recommendation for advancement on the most recent evaluation will be invalidated.,PASS,Found on stated page.,PASS,
ADV152,PS,E-6,Education Services,Exam Administration,Exam Compromise and Collusion,Who screens all advancement cycle answer sheet returns for evidence of collusion or compromise?,NCIS,NETPDC N321,PERS-803,NETPDC Statistical Analysis and Exam Support Branch (N322),D,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=148,148,"1430.16H, 21 Jan 2026",NETPDC Statistical Analysis and Exam Support Branch (N322) will screen all advancement cycle answer sheet returns for evidence of collusion or compromise.,PASS,Found on stated page.,PASS,
ADV153,PS,E-6,Education Services,Exam Administration,Exam Compromise and Collusion,When may NETPDC N322 place a member suspected of collusion in a hold status?,At any time during an advancement cycle,Only after the exam is scored,Only before the exam date,Only after PERS-803 approval,A,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=148,148,"1430.16H, 21 Jan 2026",NETPDC N322 can place any member suspected of collusion or compromise in a hold status at any time during an advancement cycle.,PASS,Found on stated page.,PASS,
ADV154,PS,E-6,Education Services,Exam Administration,Exam Compromise and Collusion,What standard score or higher on a parallel test may be used to validate a candidate's original standard score?,55,63,50,60,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=148,148,"1430.16H, 21 Jan 2026",A standard score (SS) of 63 or higher on the parallel test may be used in the investigation to validate a candidate’s original SS.,PASS,Found on stated page.,PASS,
ADV155,PS,E-6,Education Services,Exam Administration,Exam Compromise and Collusion,Who initiates a collusion or compromise investigation?,NETPDC N322,The command,NCIS,PERS-803,D,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=148,148,"1430.16H, 21 Jan 2026","PERS-803 will initiate the investigation, generally directing the member’s command to execute a formal investigation.",PASS,Found on stated page.,PASS,
ADV156,PS,E-6,Education Services,Exam Administration,Exam Compromise and Collusion,"If evidence of collusion or compromise exists, what action does PERS-803 direct?",Referral to NCIS,A retest on a parallel exam,Immediate reduction in rate,NETPDC N322 to invalidate the member's advancement cycle,D,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=148,148,"1430.16H, 21 Jan 2026",PERS-803 will direct NETPDC N322 to invalidate the member’s advancement cycle.,PASS,Found on stated page.,PASS,
ADV157,PS,E-6,Education Services,Exam Administration,Exam Compromise and Collusion,"After a cycle is invalidated for collusion, what else may the member face?",Nothing further,Punishment under the Uniform Code of Military Justice,Automatic administrative separation,Loss of all prior PNA points,B,BUPERSINST 1430.16H,BUPERSINST-1430.16H.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201430.16.pdf#page=148,148,"1430.16H, 21 Jan 2026",the member may still be subject to punishment under the Uniform Code of Military Justice,PASS,Found on stated page.,PASS,
ADV242,PS,E-5,"Reserve Pay, Management & Processing",Navy Reserve Administration,Reserve Status and Categories,Members assigned to the USNR-S2 are in what status?,Standby active status,Active status,Inactive status,Retired status,C,BUPERSINST 1001.39F,BUPERSINST 1001.39.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201001.39.pdf#page=23,23,"1001.39F CH-1, 3 May 2013 (base instruction 17 Sep 2007)",Reserve members assigned to the USNR-S2 are in an inactive status and are on the Reserve Inactive Status List (ISL).,PASS,Found on stated page.,PASS,
ADV243,PS,E-6,"Reserve Pay, Management & Processing",Navy Reserve Administration,Reserve Status and Categories,May members of the Retired Reserve be advanced or promoted?,Only enlisted members may,"Yes, with a waiver","Yes, if recalled to Active Duty",They may not be advanced or promoted,D,BUPERSINST 1001.39F,BUPERSINST 1001.39.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201001.39.pdf#page=23,23,"1001.39F CH-1, 3 May 2013 (base instruction 17 Sep 2007)","Members in the Retired Reserve are in a retired status. Unless recalled to Active Duty, they may not receive retirement point credit. They may not be advanced or promoted.",PASS,Found on stated page.,PASS,
ADV158,PS,E-5,"Reserve Pay, Management & Processing",Navy Reserve Administration,Reserve Status and Categories,What two components make up the USNR-R?,SELRES and IRR,VTU and ASP,SELRES and Retired Reserve,IRR and USNR-S1,A,BUPERSINST 1001.39F,BUPERSINST 1001.39.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201001.39.pdf#page=23,23,"1001.39F CH-1, 3 May 2013 (base instruction 17 Sep 2007)",The USNR-R is composed of the Selected Reserve (SELRES) and the Individual Ready Reserve (IRR). Members who drill for pay are in the SELRES. Members not assigned to a pay billet are in the IRR.,PASS,Found on stated page.,PASS,
ADV159,PS,E-5,"Reserve Pay, Management & Processing",Navy Reserve Administration,Reserve Status and Categories,Members of the IRR are assigned to which two groupings?,USNR-S1 or USNR-S2,Drilling or non-drilling units,SELRES or Retired Reserve,A Voluntary Training Unit or the Active Status Pool,D,BUPERSINST 1001.39F,BUPERSINST 1001.39.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201001.39.pdf#page=23,23,"1001.39F CH-1, 3 May 2013 (base instruction 17 Sep 2007)",Members in the IRR either participate in a Voluntary Training Unit (VTU) or are assigned to the Active Status Pool (ASP).,PASS,Found on stated page.,PASS,
ADV160,PS,E-4,"Reserve Pay, Management & Processing",Navy Reserve Administration,Reserve Status and Categories,To what component are individuals obligated to serve in the Navy Reserve assigned upon original appointment or enlistment?,The Retired Reserve,USNR-R,USNR-S1,USNR-S2,B,BUPERSINST 1001.39F,BUPERSINST 1001.39.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201001.39.pdf#page=23,23,"1001.39F CH-1, 3 May 2013 (base instruction 17 Sep 2007)",All individuals obligated to serve in the Navy Reserve shall be assigned to the USNR-R upon original appointment or enlistment and will normally remain in the USNR-R for the remainder of their military service obligation (MSO).,PASS,Found on stated page.,PASS,
ADV161,PS,O-3,"Reserve Pay, Management & Processing",Navy Reserve Administration,Participation Requirements,How many retirement points must an officer with fewer than 20 years of qualifying service earn each anniversary year to remain in an active status?,24 points,27 points,30 points,50 points,B,BUPERSINST 1001.39F,BUPERSINST 1001.39.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201001.39.pdf#page=27,27,"1001.39F CH-1, 3 May 2013 (base instruction 17 Sep 2007)","Officers with fewer than 20 years of qualifying service, computed as of the date of the screening, must earn at least 27 points, including membership points, each anniversary year to remain in an active status.",PASS,Found on stated page.,PASS,
ADV162,PS,E-6,"Reserve Pay, Management & Processing",Navy Reserve Administration,Participation Requirements,Who continually screens the USNR-R and USNR-S1 for adequate participation?,NAVPERSCOM (PERS-911/913),COMNAVCRUITCOM,COMNAVRESFORCOM,The supporting NOSC CO,A,BUPERSINST 1001.39F,BUPERSINST 1001.39.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201001.39.pdf#page=27,27,"1001.39F CH-1, 3 May 2013 (base instruction 17 Sep 2007)",The USNR-R and USNR-S1 are continually screened by NAVPERSCOM (PERS-911/913) to ensure that assigned members are participating at a level consistent with their active status.,PASS,Found on stated page.,PASS,
ADV163,PS,E-6,"Reserve Pay, Management & Processing",Navy Reserve Administration,Participation Requirements,To what category may NAVPERSCOM transfer members who completed their initial MSO and are not earning sufficient retirement point credit?,The Active Status Pool,The USNR-S2,The IRR,The Retired Reserve,B,BUPERSINST 1001.39F,BUPERSINST 1001.39.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201001.39.pdf#page=27,27,"1001.39F CH-1, 3 May 2013 (base instruction 17 Sep 2007)",NAVPERSCOM (PERS-911/913) may transfer members who have completed their initial MSO and who are not earning sufficient retirement point credit to the USNR-S2.,PASS,Found on stated page.,PASS,
ADV164,PS,O-3,"Reserve Pay, Management & Processing",Navy Reserve Administration,Participation Requirements,Which form must an officer complete to request reinstatement to the USNR-R?,NAVPERS 1070/613,NAVPERS 1300/16,NAVPERS 1616/26,NAVPERS 1200/1,D,BUPERSINST 1001.39F,BUPERSINST 1001.39.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201001.39.pdf#page=27,27,"1001.39F CH-1, 3 May 2013 (base instruction 17 Sep 2007)","Officers so transferred may request reinstatement to the USNR-R by meeting the requirements specified in this instruction and completing a NAVPERS 1200/1, Ready Reserve Transfer Request Service Agreement",PASS,Found on stated page.,PASS,
ADV165,PS,E-6,"Reserve Pay, Management & Processing",Navy Reserve Administration,Participation Requirements,How are successive requests for reinstatement to an active status generally handled?,They are generally approved,They are forwarded to a special board,They require SECNAV approval,They are generally disapproved,D,BUPERSINST 1001.39F,BUPERSINST 1001.39.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201001.39.pdf#page=27,27,"1001.39F CH-1, 3 May 2013 (base instruction 17 Sep 2007)",Successive requests for reinstatement will generally be disapproved.,PASS,Found on stated page.,PASS,
ADV166,PS,E-6,"Reserve Pay, Management & Processing",Navy Reserve Administration,Reserve Status and Categories,What term describes members eligible for non-regular retired pay at or after age 60 who are subsequently discharged?,Former Members,Retired Reservists,Inactive Status List members,Standby Reservists,A,BUPERSINST 1001.39F,BUPERSINST 1001.39.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201001.39.pdf#page=27,27,"1001.39F CH-1, 3 May 2013 (base instruction 17 Sep 2007)","Members of the Navy Reserve who become eligible for non-regular retired pay at or after age 60 by meeting the service requirements per 10 U.S.C., 12731 and who are subsequently discharged are referred to as ""Former Members.""",PASS,Found on stated page.,PASS,
ADV167,PS,E-6,"Reserve Pay, Management & Processing",Navy Reserve Administration,Mobilization Availability,Whose prior verbal approval is required before enlisted personnel in BUPERS Control Categories 8 and 9 may affiliate with a Reserve unit?,COMNAVRESFORCOM,NAVPERSCOM (PERS-913),The NOSC CO,NAVPERSCOM (PERS-911),B,BUPERSINST 1001.39F,BUPERSINST 1001.39.pdf,https://www.mynavyhr.navy.mil/Portals/55/Reference/Instructions/BUPERS/BUPERSINST%201001.39.pdf#page=32,32,"1001.39F CH-1, 3 May 2013 (base instruction 17 Sep 2007)","Personnel in BUPERS Control Categories 8 and 9 or Mobilization Availability Status (MAS) code ""BCG"" will not be permitted to affiliate with or separate from any Reserve unit (pay or non-pay); perform AT, ADT, ADSW; or be called to Active Duty without prior verbal approval of NAVPERSCOM (PERS-911) for officers and (PERS-913) for enlisted personnel.",PASS,Found on stated page.,PASS,
